,trip_id,arrival_time,departure_time,line_index,shape_dist_traveled,time_diff,speed,dist_diff,code,direction_id,day_date,stop_code_d,stop_code_a,departure_delay,arrival_delay,temperature_line,app_temp_line,rain_line,snow_fall_line,snow_depth_line,humidity_line,precipitation_line,wmo_code_line,wind_speed_10m_line,wind_speed_100m_line,wind_dir_10m_line,wind_dir_100m_line,wind_gusts_line,soil_temperature_line,isArrivalDelay,isDepartureDelay
0,6,162800,162200,1,5.23393,0.1,52.0,5.23,19212,1,20211208,6404,6313,2,0,9.0,7.45,0.15,0.0,0.0,88.0,0.15,51.0,6.0,11.0,76.0,102.0,22.0,8.0,0.0,1.0
1,6,163200,162900,2,9.08714,0.05,77.0,3.85,19212,1,20211208,6313,6312,2,2,10.0,8.65,0.2,0.0,0.0,84.0,0.2,51.0,3.0,6.0,92.0,104.0,14.0,7.0,1.0,1.0
2,6,163900,163300,3,16.41975,0.1,73.0,7.33,19212,1,20211208,6312,6310,2,1,10.0,8.8,0.15,0.0,0.0,82.0,0.15,51.0,4.0,6.0,124.0,124.0,15.0,7.0,1.0,1.0
3,6,164400,164000,4,19.9263,0.07,53.0,3.51,19212,1,20211208,6310,6309,2,2,10.0,8.6,0.1,0.0,0.0,84.0,0.1,51.0,5.0,7.0,138.0,129.0,17.0,7.0,1.0,1.0
4,6,164900,164500,5,23.30757,0.07,51.0,3.38,19212,1,20211208,6309,6308,2,0,10.0,8.4,0.1,0.0,0.0,84.0,0.1,51.0,5.0,7.0,138.0,129.0,17.0,7.0,0.0,1.0
5,6,165500,165000,6,28.01373,0.08,56.0,4.71,19212,1,20211208,6308,6306,1,1,8.0,7.15,0.15,0.0,0.0,90.0,0.15,51.0,3.0,6.0,226.0,150.0,19.0,7.0,1.0,1.0
6,6,170000,165600,7,31.85256,0.07,58.0,3.84,19212,1,20211208,6306,6304,1,0,7.0,5.85,0.2,0.0,0.0,96.0,0.2,51.0,1.0,5.0,315.0,172.0,22.0,7.0,0.0,1.0
7,6,170400,170100,8,35.28278,0.05,69.0,3.43,19212,1,20211208,6304,6303,1,1,7.0,5.65,0.2,0.0,0.0,96.0,0.2,51.0,1.0,5.0,315.0,172.0,22.0,7.0,1.0,1.0
8,6,170900,170500,9,38.10713,0.07,42.0,2.82,19212,1,20211208,6303,6302,1,1,7.0,6.05,0.15,0.0,0.0,98.0,0.15,51.0,3.0,9.0,300.0,210.0,34.0,7.0,1.0,1.0
9,6,171400,171000,10,41.80778,0.07,56.0,3.7,19212,1,20211208,6302,6301,1,1,8.0,6.15,0.1,0.0,0.0,100.0,0.1,51.0,5.0,13.0,286.0,248.0,45.0,7.0,1.0,1.0
10,6,172100,171500,11,44.93742,0.1,31.0,3.13,19212,1,20211208,6301,6300,1,1,7.0,5.8,0.1,0.0,0.0,100.0,0.1,51.0,5.0,13.0,286.0,248.0,45.0,7.0,1.0,1.0
11,6,172800,172200,12,49.82972,0.1,49.0,4.89,19212,1,20211208,6300,6322,2,2,7.0,5.3,0.1,0.0,0.0,94.0,0.1,51.0,7.0,16.0,248.0,234.0,43.0,7.0,1.0,1.0
12,6,173100,172900,13,51.28115,0.03,44.0,1.45,19212,1,20211208,6322,6323,2,2,6.0,3.9,0.65,0.0,0.0,94.0,0.65,53.0,8.0,18.0,214.0,214.0,42.0,6.0,1.0,1.0
13,6,173500,173200,14,53.26429,0.05,40.0,1.98,19212,1,20211208,6323,6324,2,2,5.0,2.75,1.2,0.0,0.0,98.0,1.2,55.0,7.0,16.0,219.0,209.0,42.0,6.0,1.0,1.0
14,6,174100,173500,15,57.39791,0.1,41.0,4.13,19212,1,20211208,6324,6325,2,0,5.0,3.0,1.0,0.0,0.0,95.0,1.0,54.0,6.0,16.0,208.0,206.0,37.0,6.0,0.0,1.0
15,6,174800,174200,16,65.72901,0.1,83.0,8.33,19212,1,20211208,6325,6227,1,1,6.0,3.75,0.8,0.0,0.0,92.0,0.8,53.0,5.0,15.0,197.0,202.0,32.0,6.0,1.0,1.0
16,6,175300,174900,17,70.09046,0.07,65.0,4.36,19212,1,20211208,6227,6226,1,1,6.0,4.35,0.8,0.0,0.0,92.0,0.8,53.0,5.0,15.0,197.0,202.0,32.0,7.0,1.0,1.0
17,6,175700,175400,18,72.65362,0.05,51.0,2.56,19212,1,20211208,6226,6225,1,1,7.0,4.85,0.8,0.0,0.0,92.0,0.8,53.0,5.0,15.0,197.0,202.0,32.0,7.0,1.0,1.0
18,6,180100,175700,19,76.12076,0.07,52.0,3.47,19212,1,20211208,6225,6224,1,0,7.0,5.05,0.8,0.0,0.0,92.0,0.8,53.0,5.0,15.0,197.0,202.0,32.0,7.0,0.0,1.0
19,6,180500,180200,20,78.60794,0.05,50.0,2.49,19212,1,20211208,6224,6223,1,0,7.0,5.25,0.8,0.0,0.0,92.0,0.8,53.0,5.0,15.0,197.0,202.0,32.0,7.0,0.0,1.0
20,6,180900,180600,21,81.21664,0.05,52.0,2.61,19212,1,20211208,6223,6222,0,0,7.0,5.6,0.95,0.0,0.0,96.0,0.95,54.0,4.0,13.0,174.0,200.0,30.0,8.0,0.0,0.0
21,7,164800,164200,1,8.01853,0.1,80.0,8.02,18590,0,20211208,6404,6402,1,2,8.0,5.4,0.0,0.0,0.0,91.0,0.0,1.0,8.0,15.0,108.0,159.0,15.0,7.0,1.0,1.0
22,7,165700,164900,2,14.83468,0.13,51.0,6.82,18590,0,20211208,6402,6400,2,1,7.0,5.2,0.0,0.0,0.0,94.0,0.0,2.0,5.0,11.0,82.0,180.0,16.0,7.0,1.0,1.0
23,7,170800,165800,3,20.90887,0.17,36.0,6.07,18590,0,20211208,6400,6501,8,3,7.0,5.65,0.0,0.0,0.0,96.0,0.0,2.0,4.0,11.0,136.0,212.0,14.0,7.0,1.0,1.0
24,7,171300,170900,4,23.53195,0.07,39.0,2.62,18590,0,20211208,6501,6500,3,4,8.0,6.3,0.0,0.0,0.0,94.0,0.0,2.0,7.0,15.0,215.0,223.0,11.0,6.0,1.0,1.0
25,8,194700,194100,1,8.01853,0.1,80.0,8.02,18604,0,20211208,6404,6402,2,1,8.0,5.4,0.1,0.0,0.0,85.0,0.1,51.0,8.0,19.0,286.0,286.0,22.0,7.0,1.0,1.0
26,8,195700,194800,2,14.83468,0.15,45.0,6.82,18604,0,20211208,6402,6400,1,0,7.0,5.2,0.05,0.0,0.0,88.0,0.05,27.0,7.0,18.0,276.0,284.0,27.0,7.0,0.0,1.0
27,8,200700,195800,3,20.90887,0.15,40.0,6.07,18604,0,20211208,6400,6501,6,2,7.0,5.05,0.0,0.0,0.0,89.0,0.0,3.0,6.0,17.0,276.0,288.0,27.0,6.0,1.0,1.0
28,8,201300,200800,4,23.53195,0.08,31.0,2.62,18604,0,20211208,6501,6500,2,2,7.0,5.05,0.0,0.0,0.0,88.0,0.0,3.0,6.0,18.0,287.0,296.0,22.0,6.0,1.0,1.0
29,9,205400,205000,1,2.62308,0.07,39.0,2.62,18599,0,20211208,6500,6501,0,0,6.0,4.1,0.0,0.0,0.0,91.0,0.0,3.0,5.0,12.0,222.0,268.0,12.0,6.0,0.0,0.0
30,9,210000,205500,2,8.69727,0.08,73.0,6.07,18599,0,20211208,6501,6400,1,1,6.0,4.15,0.0,0.0,0.0,92.0,0.0,2.0,5.0,12.0,228.0,268.0,17.0,6.0,1.0,1.0
31,9,210800,210100,3,15.51342,0.12,58.0,6.82,18599,0,20211208,6400,6402,2,0,6.0,4.300000000000001,0.0,0.0,0.0,90.0,0.0,2.0,5.0,15.0,264.0,275.0,19.0,6.0,0.0,1.0
32,9,211700,210900,4,23.53195,0.13,60.0,8.02,18599,0,20211208,6402,6404,0,1,7.0,4.4,0.0,0.0,0.0,88.0,0.0,3.0,6.0,17.0,294.0,283.0,15.0,7.0,1.0,0.0
33,10,145400,145000,1,2.62308,0.07,39.0,2.62,18579,0,20211208,6500,6501,1,1,8.0,5.7,0.0,0.0,0.0,91.0,0.0,3.0,9.0,9.0,66.0,113.0,27.0,7.0,1.0,1.0
34,10,150000,145500,2,8.69727,0.08,73.0,6.07,18579,0,20211208,6501,6400,1,2,8.0,5.4,0.0,0.0,0.0,93.0,0.0,3.0,9.0,11.0,62.0,102.0,25.0,7.0,1.0,1.0
35,10,150700,150100,3,15.51342,0.1,68.0,6.82,18579,0,20211208,6400,6402,3,1,8.0,5.9,0.0,0.0,0.0,90.0,0.0,3.0,10.0,14.0,58.0,86.0,28.0,7.0,1.0,1.0
36,10,151700,150800,4,23.53195,0.15,53.0,8.02,18579,0,20211208,6402,6404,1,0,9.0,6.65,0.0,0.0,0.0,86.0,0.0,3.0,11.0,16.0,60.0,82.0,31.0,8.0,0.0,1.0
37,11,154800,154200,1,8.01853,0.1,80.0,8.02,18580,0,20211208,6404,6402,1,1,9.0,6.5,0.1,0.0,0.0,88.0,0.1,51.0,9.0,13.0,81.0,113.0,31.0,8.0,1.0,1.0
38,11,155700,154900,2,14.83468,0.13,51.0,6.82,18580,0,20211208,6402,6400,1,0,8.0,5.95,0.2,0.0,0.0,92.0,0.2,51.0,8.0,11.0,66.0,113.0,30.0,7.0,0.0,1.0
39,11,160800,155800,3,20.90887,0.17,36.0,6.07,18580,0,20211208,6400,6501,6,1,8.0,5.95,0.4499999999999999,0.0,0.0,95.0,0.4499999999999999,52.0,6.0,9.0,62.0,140.0,28.0,7.0,1.0,1.0
40,11,161300,160900,4,23.53195,0.07,39.0,2.62,18580,0,20211208,6501,6500,1,2,8.0,6.5,0.6,0.0,0.0,93.0,0.6,53.0,4.0,9.0,73.0,166.0,26.0,7.0,1.0,1.0
41,12,115300,114700,1,5.23393,0.1,52.0,5.23,19204,0,20211208,6404,6313,8,8,7.0,3.3499999999999996,3.85,0.0,0.0,88.0,3.85,63.0,17.0,30.0,70.0,73.0,48.0,6.0,1.0,1.0
42,12,115700,115400,2,9.08714,0.05,77.0,3.85,19204,0,20211208,6313,6312,8,8,7.0,4.25,2.8,0.0,0.0,87.0,2.8,63.0,13.0,23.0,58.0,64.0,45.0,6.0,1.0,1.0
43,12,120500,115800,3,16.41975,0.12,63.0,7.33,19204,0,20211208,6312,6310,8,8,7.0,4.5,2.7,0.0,0.0,88.0,2.7,63.0,12.0,22.0,61.0,72.0,38.0,6.0,1.0,1.0
44,12,121000,120600,4,19.9263,0.07,53.0,3.51,19204,0,20211208,6310,6309,9,9,7.0,4.699999999999999,2.6,0.0,0.0,90.0,2.6,63.0,12.0,21.0,64.0,81.0,32.0,6.0,1.0,1.0
45,12,121500,121100,5,23.30757,0.07,51.0,3.38,19204,0,20211208,6309,6308,9,7,7.0,4.5,2.6,0.0,0.0,90.0,2.6,63.0,12.0,21.0,64.0,81.0,32.0,6.0,1.0,1.0
46,12,122000,121600,6,28.01373,0.07,71.0,4.71,19204,0,20211208,6308,6306,7,7,7.0,4.25,4.8,0.14,0.0,94.0,5.0,68.0,10.0,18.0,42.0,72.0,34.0,6.0,1.0,1.0
47,12,122500,122100,7,31.85256,0.07,58.0,3.84,19204,0,20211208,6306,6304,7,8,6.0,4.0,7.0,0.28,0.0,99.0,7.4,73.0,9.0,16.0,19.0,62.0,36.0,7.0,1.0,1.0
48,12,122900,122600,8,35.28278,0.05,69.0,3.43,19204,0,20211208,6304,6303,9,9,6.0,3.85,7.0,0.28,0.0,99.0,7.4,73.0,9.0,16.0,19.0,62.0,36.0,7.0,1.0,1.0
49,12,123400,123000,9,38.10713,0.07,42.0,2.82,19204,0,20211208,6303,6302,9,9,6.0,4.05,5.35,0.14,0.0,100.0,5.550000000000001,68.0,9.0,15.0,44.0,84.0,47.0,6.0,1.0,1.0
50,12,124400,123500,10,44.93742,0.15,46.0,6.83,19204,0,20211208,6302,6300,9,7,6.0,3.95,3.7,0.0,0.0,100.0,3.7,63.0,9.0,15.0,68.0,106.0,58.0,6.0,1.0,1.0
51,12,125100,124500,11,49.82972,0.1,49.0,4.89,19204,0,20211208,6300,6322,8,8,6.0,3.35,2.95,0.0,0.0,96.0,2.95,62.0,11.0,20.0,88.0,114.0,59.0,5.0,1.0,1.0
52,12,125400,125200,12,51.28115,0.03,44.0,1.45,19204,0,20211208,6322,6323,8,8,6.0,3.1,2.2,0.0,0.0,92.0,2.2,61.0,14.0,25.0,107.0,122.0,60.0,5.0,1.0,1.0
53,12,125700,125500,13,53.26429,0.03,59.0,1.98,19204,0,20211208,6323,6324,8,8,6.0,2.85,2.2,0.0,0.0,92.0,2.2,61.0,14.0,25.0,107.0,122.0,60.0,5.0,1.0,1.0
54,12,130300,125800,14,57.39791,0.08,50.0,4.13,19204,0,20211208,6324,6325,8,5,6.0,3.5,3.1,0.0,0.0,90.0,3.1,62.0,12.0,24.0,100.0,118.0,54.0,6.0,1.0,1.0
55,12,131100,130400,15,65.72901,0.12,71.0,8.33,19204,0,20211208,6325,6227,6,5,7.0,4.65,4.0,0.0,0.0,87.0,4.0,63.0,10.0,23.0,94.0,115.0,48.0,6.0,1.0,1.0
56,12,131700,131200,16,70.09046,0.08,52.0,4.36,19204,0,20211208,6227,6226,6,6,8.0,5.25,4.0,0.0,0.0,87.0,4.0,63.0,10.0,23.0,94.0,115.0,48.0,7.0,1.0,1.0
57,12,132000,131800,17,72.65362,0.03,77.0,2.56,19204,0,20211208,6226,6225,6,6,8.0,5.8,4.0,0.0,0.0,87.0,4.0,63.0,10.0,23.0,94.0,115.0,48.0,7.0,1.0,1.0
58,12,132600,132100,18,76.12076,0.08,42.0,3.47,19204,0,20211208,6225,6224,6,2,8.0,6.0,4.0,0.0,0.0,87.0,4.0,63.0,10.0,23.0,94.0,115.0,48.0,8.0,1.0,1.0
59,12,133200,132700,19,81.21664,0.08,61.0,5.1,19204,0,20211208,6224,6222,3,2,9.0,7.65,2.1,0.0,0.0,88.0,2.1,57.0,6.0,15.0,227.0,116.0,36.0,8.0,1.0,1.0
60,13,110900,110600,2,11.30786,0.05,52.0,2.61,19199,1,20211208,6222,6223,3,3,9.0,6.6,3.4,0.0,0.0,89.0,3.4,62.0,9.0,20.0,78.0,128.0,37.0,7.0,1.0,1.0
61,13,111400,111000,3,13.79504,0.07,37.0,2.49,19199,1,20211208,6223,6224,3,0,9.0,6.050000000000001,1.3,0.0,0.0,85.0,1.3,61.0,13.0,28.0,114.0,125.0,44.0,7.0,0.0,1.0
62,13,111900,111500,4,17.26218,0.07,52.0,3.47,19199,1,20211208,6224,6225,1,1,9.0,5.85,1.3,0.0,0.0,85.0,1.3,61.0,13.0,28.0,114.0,125.0,44.0,6.0,1.0,1.0
63,13,112400,112000,5,19.82534,0.07,38.0,2.56,19199,1,20211208,6225,6226,1,1,9.0,5.65,1.3,0.0,0.0,85.0,1.3,61.0,13.0,28.0,114.0,125.0,44.0,6.0,1.0,1.0
64,13,113200,112500,6,24.18679,0.12,37.0,4.36,19199,1,20211208,6226,6227,1,0,8.0,5.1,1.55,0.0,0.0,84.0,1.55,61.0,15.0,30.0,122.0,130.0,45.0,6.0,0.0,1.0
65,13,114200,113300,7,32.51789,0.15,56.0,8.33,19199,1,20211208,6227,6325,1,0,8.0,4.45,1.8,0.0,0.0,84.0,1.8,61.0,17.0,33.0,131.0,136.0,47.0,6.0,0.0,1.0
66,13,114700,114300,8,36.65151,0.07,62.0,4.13,19199,1,20211208,6325,6324,1,1,7.0,3.25,1.4,0.0,0.0,88.0,1.4,58.0,17.0,32.0,126.0,134.0,57.0,6.0,1.0,1.0
67,13,115100,114800,9,38.63465,0.05,40.0,1.98,19199,1,20211208,6324,6323,1,1,6.0,2.5,1.0,0.0,0.0,92.0,1.0,55.0,17.0,32.0,120.0,133.0,66.0,6.0,1.0,1.0
68,13,115500,115200,10,40.08608,0.05,29.0,1.45,19199,1,20211208,6323,6322,1,1,6.0,2.75,1.0,0.0,0.0,92.0,1.0,55.0,17.0,32.0,120.0,133.0,66.0,6.0,1.0,1.0
69,13,120200,115600,11,44.97838,0.1,49.0,4.89,19199,1,20211208,6322,6300,1,1,6.0,3.3,2.65,0.07,0.0,96.0,2.75,63.0,12.0,24.0,90.0,119.0,65.0,6.0,1.0,1.0
70,13,121000,120300,12,51.80867,0.12,59.0,6.83,19199,1,20211208,6300,6302,2,2,6.0,4.15,4.3,0.14,0.0,100.0,4.5,71.0,8.0,16.0,59.0,105.0,63.0,7.0,1.0,1.0
71,13,121500,121100,13,54.63301,0.07,42.0,2.82,19199,1,20211208,6302,6303,2,2,6.0,4.15,5.65,0.21,0.0,100.0,5.95,72.0,8.0,16.0,39.0,84.0,50.0,7.0,1.0,1.0
72,13,122200,121600,14,58.06323,0.1,34.0,3.43,19199,1,20211208,6303,6304,2,0,6.0,3.85,7.0,0.28,0.0,99.0,7.4,73.0,9.0,16.0,19.0,62.0,36.0,7.0,0.0,1.0
73,13,123200,122700,15,61.90206,0.08,46.0,3.84,19199,1,20211208,6304,6306,8,8,6.0,4.2,5.4,0.14,0.0,98.0,5.6,68.0,9.0,12.0,186.0,52.0,42.0,7.0,1.0,1.0
74,13,123800,123300,16,66.60822,0.08,56.0,4.71,19199,1,20211208,6306,6308,8,6,8.0,5.3,3.4,0.0,0.0,92.0,3.4,63.0,8.0,13.0,206.0,60.0,47.0,7.0,1.0,1.0
75,13,124300,123900,17,69.98949,0.07,51.0,3.38,19199,1,20211208,6308,6309,6,6,8.0,6.199999999999999,3.0,0.0,0.0,88.0,3.0,63.0,8.0,17.0,58.0,78.0,46.0,7.0,1.0,1.0
